Date,TimeOfAcc,AccLocation,NatureAccident,ClassificationOfAccident,Causes,RoadFeature,RoadCondition,IntersectionTypeControl,WeatherCondition,VehicleResponsible,Fatal,Grevious,Minor,Injured,NumAnimalsKilled,HelpAmbulancePatrol,Remarks
9/6/2015,09:00 AM,Ch. 69+5006,2,2,2,2,1,9,1,One Diesel Truck collapsed,0,2,1,0,0,Petrol Vehicle,
9/5/2014,07:18 AM,72+500,7,1,2,2,3,9,1,Lorry & Scorpio,2,0,0,0,0,Ambulance,
9/10/2014,08:50 AM,20+250 LHS,4,-,3,3,1,9,1,LCV (KA02 AD 4041) HIT CAR (KA 19 Z 8477),0,0,0,0,0,Petrol Vehicle,NO PROPERTY DAMAGES. INFORMED KEY PERSONS.
8/9/2015,05:00 AM,,1,2,2,1,3,9,1,Lorry Truck,0,1,1,0,0,Petrol Vehicle,
8/4/2015,08:23 AM,126.800 KM RHS,2,2,2,4,4,9,1,Car,0,2,1,1,0,Petrol Vehicle,A car upside due to over speed
8/4/2015,08:23 AM,126.800 KM RHS,2,3,2,4,4,9,1,Car,0,2,1,1,0,Petrol Vehicle,A car upside due to over speed
8/4/2015,08:23 AM,126.800 KM RHS,2,4,2,4,4,9,1,Car,0,2,1,1,0,Petrol Vehicle,A car upside due to over speed
7/4/2015,08:30 AM,160.110 KM RHS,2,3,2,4,4,9,1,Car,0,0,1,0,0,Petrol Vehicle,accident due to over speed
7/4/2015,08:30 AM,115.600 KM RHS,2,3,2,4,4,9,1,Tractor & BIKE,0,0,1,3,0,Petrol Vehicle,Tractor & bike accident due to bike parson drink & drive
7/4/2015,08:30 AM,115.600 KM RHS,2,4,2,4,4,9,1,Tractor & BIKE,0,0,1,3,0,Petrol Vehicle,Tractor & bike accident due to bike parson drink & drive
7/2/2015,05:10 AM,Km.84+300,2,3,2,2,3,9,3,Sumo and Lorry Truck,0,0,2,4,0,Ambulance/Petrol Vehicle,Nil
7/10/2014,06:50 AM,26+200 RHS,3,-,3,3,1,9,1,BUS(KA 05 AB 0025) HIT CAR(KA 53 MA 6291),0,0,0,0,0,Petrol Vehicle,INFORMED POLICE AND KEY PERSONS.
6/4/2015,08:30 AM,172.200 KM LHS,2,2,2,4,4,9,1,Tractor & Bike,0,1,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
6/10/2014,08:10 PM,18+700 LHS,2,-,1,3,1,9,1,LCV(KA 18 B 5864) HIT UNKNOWN BUS,0,0,0,0,0,Ambulance/Petrol Vehicle,NO PROPERTY DAMAGES. INFORMED KEY PERSONS.
5/6/2014,01:25 PM,80+000,7,3,3,2,1,3,1,Lorry RJ19 GA2487 vs Pedestrian,0,0,1,0,0,Petrol Vehicle,
5/4/2015,08:30 AM,162.800 KM LHS,2,2,2,4,4,9,1,Car,0,0,1,0,0,Petrol Vehicle,Vehicle breakdown due to over speed
5/4/2015,08:30 AM,162.800 KMlhs,2,3,2,4,4,9,1,Car & Truck,0,0,1,0,0,Petrol Vehicle,Vehicle met accident due to mechanical problem
5/3/2015,05:10 AM,km96+100LHS,2,3,2,1,1,9,1,Two Long Trucks,0,3,2,5,0,Petrol Vehicle,
5/12/2014,09:00 AM,91+800 LHS,2,1,3,2,1,1,1,Motor Cycle,1,2,1,0,0,Ambulance,Nil
4/6/2015,05:00 PM,Ch.135+025,2,2,2,2,1,9,1,One truck and motor byke,1,1,0,0,0,Ambulance,
4/5/2014,05:15 AM,60+200RHS,1,1,4,2,4,9,1,Two Wheeler & Lorry,2,2,0,0,0,Ambulance,
4/4/2015,08:30 AM,164.850 KMLHS,1,3,2,4,4,9,1,Car & Auto,0,0,2,0,0,Petrol Vehicle,Vehicle met accident due to over speed
30/9/2014,10:30 PM,14+835 LHS,7,2,5,3,1,9,1,LCV(KA 01 AA 1583) HIT KSRTC BUS(KA 19 F 2831) PASSENGER,0,1,0,0,0,Ambulance/Petrol Vehicle,"INJURED PERSON SHIFTED TO HARSH HOSPITAL, NO PROPERTY DAMAGES, INFORMED POLICE & KEY PERSONS"
30/9/2014,04:25 PM,27+800,1,3,2,3,1,9,1,TRACTOR (KA 05 M 7163) HIT BIKE (KA 04 ES 9873),0,0,1,0,0,Ambulance/Petrol Vehicle,"INJURED PERSON SHIFTED TO MATHRUSHREE HOSPITAL, VEH HANDED OVER TO POLICE AND INFORMED KEY PERSONS."
30/11/2014,08:00 AM,92+000 (LHS),1,1,3,2,1,1,1,Tipper,0,0,0,0,1,Petrol Vehicle,
29/3/2015,04:30 PM,126.800 KM LHS,2,2,2,4,4,9,1,Car & Bike,0,1,0,2,0,Petrol Vehicle,Car & Bike accident due to over speed car
29/3/2015,04:30 PM,126.800 KM LHS,2,4,2,4,4,9,1,Car & Bike,0,1,0,2,0,Petrol Vehicle,Car & Bike accident due to over speed car
28/9/2014,09:05 PM,24+650 RHS,3,2,5,2,1,9,1,CAR(KA.04.MK.5817) HIT TO UNKNOWN VEHICLE,0,2,0,0,0,Petrol Vehicle,INJURED PERSONS SHIFTED TO UNKNOWN HSPTL BY 108 AMB NO PROPERTY DAMAGES INFORMED TO ALL KEY PERSONS & POLICE
28/7/2014,10:35 PM,28/400 (LHS),3,4,2,3,1,3,1,Scorpio and Lorry,0,0,0,0,0,Ambulance/Petrol Vehicle,
28/5/2014,04:13 AM,117+500,7,1,3,2,1,9,1,Tempo Traveller & Alto car,5,0,0,0,0,Ambulance/Petrol Vehicle,
28/3/2015,04:39 PM,109.000 KM RHS,2,2,2,4,4,9,1,LCV,0,2,1,2,0,Petrol Vehicle,LCV upside due to tyre bust
28/3/2015,04:39 PM,109.000 KM RHS,2,3,2,4,4,9,1,LCV,0,2,1,2,0,Petrol Vehicle,LCV upside due to tyre bust
28/3/2015,04:39 PM,109.000 KM RHS,2,4,2,4,4,9,1,LCV,0,2,1,2,0,Petrol Vehicle,LCV upside due to tyre bust
27/9/2014,11:35 AM,16+700 RHS,6,3,3,3,1,9,1,BIKE (KA 04 HR 9383) SKID,0,0,0,0,0,Ambulance/Petrol Vehicle,INJURY PERSON SHIFTED TO PREMIER SANJEEVINI HOSPITAL . INFORMED TO POLICE & ALL KEY PERSONS.
26/9/2014,02:50 PM,24+675 LHS,1,3,3,3,1,9,1,BIKE (KA 05 JC 8762) HIT TO TRUCK (KA 11 4084),0,0,1,0,0,Ambulance/Petrol Vehicle,NJURED PERSON SHIFTED TO HARSHA HOSPITAL & INFORM POLICE & KEY PERSONS.
26/9/2014,03:50 AM,19+350 RHS,7,1,3,3,1,9,1,UNKNOWN VEHICLE HIT ROAD CROSSING PERSON,1,0,0,0,0,Ambulance/Petrol Vehicle,1 FATAL SHIFTED TO GOVT HOSPITAL NELAMANGALA. INFORMED TO POLICE & ALL KEY PERSONS.
26/7/2014,01:00 PM,13/121 (LHS),3,4,4,3,2,9,1,Tipper Lorry & Two Wheeler,0,0,0,0,1,Petrol Vehicle,
26/7/2014,04:45 PM,23/400 (RHS),4,4,4,3,1,9,1,Mahindra Pickup and Innova Car,0,0,0,0,0,Ambulance/Petrol Vehicle,
26/3/2015,08:30 AM,149.200 KM LHS,2,3,2,4,4,9,1,Car,0,0,1,0,0,Petrol Vehicle,Vehicle met accident due to over speed
24/3/2015,12:00 AM,180.900 KM LHS,2,1,2,4,4,9,1,Bike & Truck,1,0,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
23/3/2015,04:30 PM,173.200 KM RHS,2,-,2,4,4,9,1,Car,0,0,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
21/9/2014,06:05 PM,131+600,7,2,-,2,3,9,1,Santro Car,0,2,0,0,0,Ambulance,
21/3/2015,12:00 AM,132.600 KM LHS,2,2,2,4,4,9,1,Bike,0,2,0,0,0,Petrol Vehicle,Bike accident due to hit to buffalo
21/3/2015,12:00 AM,122.050 KM LHS,2,4,2,4,4,9,1,Car,0,0,0,2,0,Petrol Vehicle,A car upside due to over speed
21/12/2014,10:00 PM,117+000,2,1,4,2,1,2,1,Matador 407,3,0,1,0,0,Ambulance,Nil
20/9/2014,09:00 PM,,1,3,3,2,3,9,1,Lorry,0,0,2,0,0,Ambulance,
20/3/2015,04:30 PM,157.800 KM LHS,2,2,2,4,4,9,1,Bike & Bike,0,2,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
20/10/2015,05:00 AM,128+000,2,1,3,2,1,9,1,Lorry truck and byke,1,1,1,0,0,Petrol Vehicle,
2/8/2014,08:25 AM,90+250,1,-,2,2,1,3,1,Lorry,0,0,0,0,0,Petrol Vehicle,Non Injured
2/4/2015,04:30 PM,157.400 KM RHS,2,2,2,4,4,9,1,Car & Bike,0,2,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
2/10/2014,08:15 PM,20+700 RHS,1,1,7,3,1,9,1,BIKE(KA.06.EC.6082) HIT ROAD CROSSING PERSON,1,0,0,0,0,Ambulance/Petrol Vehicle,INJURED PERSONS SHIFTED TO NEL.GOVT.HSPTL NO PROPERTY DAMAGES INFORMED POLICE & ALL KEY PERSONS
19/5/2014,08:06 PM,91+800,7,2,2,2,1,9,1,Two Wheeler,0,2,0,0,0,Ambulance/Petrol Vehicle,
19/3/2015,08:30 AM,162.800 KM RHS,2,3,2,4,4,9,1,Car,0,0,1,0,0,Petrol Vehicle,Vehicle met accident due to over speed
19/3/2015,08:30 AM,138.250 KM RHS,2,2,2,4,4,9,1,Car & Bike,0,2,0,2,0,Petrol Vehicle,CJV & BIKE Accident duet bike cross the road
19/3/2015,08:30 AM,138.250 KM RHS,2,4,2,4,4,9,1,Car & Bike,0,2,0,2,0,Petrol Vehicle,CJV & BIKE Accident duet bike cross the road
19/3/2015,08:30 AM,121.700 KM LHS,2,4,2,4,4,9,1,Car & MAV,0,0,0,3,0,Petrol Vehicle,MAV & CJV Accident due to CJV over speed
19/10/2014,02:10 PM,18+800 LHS,3,-,2,3,1,9,1,CAR (KA 06 N 3831) HIT CAR (KA 02 MJ 0727),0,0,0,0,0,Petrol Vehicle,NO NBTPL PROPERTY DAMAGES. VEH HANDED OVER TO POLICE & INFORMED KEY PERSONS.
18/10/2014,09:00 PM,23+000 LHS S/R,4,3,2,2,1,9,1,CAR (KA 03 D 4080) HIT PL-4 ENTRANCE DIVIDER,0,0,2,0,0,Ambulance/Petrol Vehicle,"2 MAJOR INJURIES, SHIFTED TO HARSHA HOSPITAL. HANDED OVER TO POLICE & KEY PERSONS."
18/10/2014,11:30 PM,18+800 LHS,4,-,3,3,1,9,1,LCV(KA 52 6279) HIT CAR(KA 01 ML 4151),0,0,0,0,0,Ambulance/Petrol Vehicle,NO NBTPL PROPERTY DAMAGES. VEH HANDED OVER TO POLICE & INFORMED KEY PERSONS.
17/7/2015,05:00 PM,Ch.132+700,2,2,4,2,2,9,1,Two Trucks,0,0,1,0,0,Petrol Vehicle,
16/5/2014,09:08 PM,104+500,7,1,2,2,3,9,1,Two Wheeler & Car,1,0,0,0,0,Ambulance,
16/4/2015,12:00 AM,148.200 KM RHS,2,3,2,4,4,9,1,Bike,0,0,1,0,0,Petrol Vehicle,Vehicle met accident due to over speed
16/10/2014,11:00 PM,18+700 LHS,7,2,2,3,1,9,1,UNKNOWN VEHICLE HIT CAR(KA 25 N 4547),0,0,0,0,0,Ambulance/Petrol Vehicle,NO NBTPL PROPERTY DAMAGES. INFORMED KEY PERSONS.
15/9/2014,10:20 PM,126+900,2,1,-,2,2,3,1,Lorry & Car,2,0,0,0,0,Ambulance,
15/2/2015,02:30 PM,Km.89+500,2,3,2,2,1,9,1,Motor Byke & Lorry,0,1,2,5,0,Ambulance/Petrol Vehicle,nil
15/10/2015,09:00 AM,125+000,2,1,2,2,1,9,1,Lorry truck and byke,2,1,1,0,0,Petrol Vehicle,
15/10/2014,08:20 PM,17+150 LHS,5,4,7,3,1,9,1,UNKNOWN VEH HIT YO PEDESTRIAN,0,0,0,0,0,Ambulance,NO PROPERTY DAMAGE PATIENT SHIFTED TO HARSHA HOSPITAL
15/10/2014,09:20 AM,14+550 LHS,4,2,4,3,1,9,1,CAR (KA 51 MC 6413) HIT BIKE (KA 02 HX 3572),0,1,1,0,0,Ambulance/Petrol Vehicle,INFORMED POLICE & KEY PERSONS
14/8/2015,09:00 AM,86+000,7,1,2,1,3,9,1,Maruthi car hitting electrical pole and caught fire,2,1,1,0,0,Petrol Vehicle,
14/8/2015,05:00 AM,86+000,1,1,2,2,3,9,1,Lorry truck,0,1,1,0,0,Petrol Vehicle,
14/4/2015,04:30 PM,164.200 KM LHS,2,3,2,4,4,9,1,Bike`,0,0,1,0,0,Petrol Vehicle,Vehicle met accident due to over speed
14/3/2015,02:30 PM,Km.85+400 RHS,2,2,2,1,3,9,1,Mini Lorry Truck and TVS Motor Byke.,0,2,0,5,0,Petrol Vehicle,Nil
13/10/2014,11:35 PM,13+500 LHS,2,2,2,3,1,9,1,UNKNOWN BIKE HIT TO MEDIEAN,0,1,0,0,0,Ambulance,INFORMED POLICE & KEY PERSONS
13/1/2018,01:50 AM,"162.050KM,OTH,LHS",7,1,4,4,4,9,1,Bus(Bus),8,10,5,0,0,Ambulance/Petrol Vehicle,
12/4/2015,08:30 AM,147.700 KM RHS,2,1,2,4,4,9,1,Car & Car,1,5,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
12/4/2015,08:30 AM,147.700 KM RHS,2,2,2,4,4,9,1,Car & Car,1,5,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
12/4/2015,12:00 AM,122.100 KMLHS,2,4,2,4,4,9,1,Car,0,0,0,3,0,Petrol Vehicle,A upside due to drink & drive
12/1/2018,03:12 AM,"153.900KM,MCW,LHS",2,1,2,4,4,9,1,"Car(CJV),Bus(Bus)",1,0,0,0,0,Ambulance/Petrol Vehicle,
12/1/2018,04:50 AM,112.600KM LHS,7,4,2,4,4,9,1,Car(CJV),0,0,0,0,0,Petrol Vehicle,
12/1/2018,09:10 AM,"142.300KM,MCW,RHS",7,4,2,4,4,9,1,Truck(Truck - 2 Axle),0,0,0,0,0,Petrol Vehicle,
11/8/2015,02:00 PM,Ch.86+000,2,1,3,2,3,9,1,truck,2,1,0,0,0,Ambulance,
11/10/2014,06:00 AM,26+000 RHS,3,3,3,3,1,9,1,TRUCK(KA.01.AA.5702) HIT TO LCV(KA.28.A.3490)HIT TO MAV(KA.51.A.1903),0,0,1,0,0,Petrol Vehicle,INFORMED POLICE AND KEY PERSONS.
11/10/2014,01:00 AM,24+750 LHS,6,2,3,3,1,9,1,BIKE (KA 52 K 5269) SKID,0,1,0,0,0,Petrol Vehicle,"PERSON SHIFTED BY 108.BIKE HANDOVERED TO POLICE STATION,INFORMED TO POLICE AND KEY PERSONS"
11/10/2014,03:30 AM,24+100 LHS,4,1,4,3,1,9,1,LCV(KA 53 8134) HIT LCV(KA 05 AD 9965),2,0,0,0,0,Ambulance/Petrol Vehicle,2 FATAL SHIFTED TO GOVT HOSPITAL.INFORMED TO POLICE AND KEY PERSONS.VEHICLES HANDOVERED TO POLICE STATION.
10/8/2015,11:00 AM,Ch.86+000,2,1,3,2,3,9,1,Car,2,1,0,0,0,Ambulance,
10/12/2014,01:30 PM,133+000 RHS,2,1,3,2,1,2,1,Two Wheeler and Lorry,1,0,3,1,0,Ambulance,Nil
10/10/2014,08:00 PM,21+800 LHS,4,-,3,3,1,9,1,CAR (KA 04 ML 7625) HIT TRUCK ( KA 12 7979),0,0,0,0,0,Ambulance/Petrol Vehicle,NO PROPERTY DAMAGES. VEH HANDED OVER TO POLICE INFORMED KEY PERSONS.
1/4/2015,08:30 AM,150.000 KM LHS,2,2,2,4,4,9,1,LCV & Bike,0,1,0,0,0,Petrol Vehicle,LCV & BIKE accident due to rear & collision
1/4/2015,04:30 PM,148.900 KM LHS,2,2,2,4,4,9,1,Bike,0,1,0,0,0,Petrol Vehicle,A bike upside due to drink & drive
1/10/2014,03:05 PM,12+500 LHS,3,3,2,3,1,9,1,CAR (KA 05 MN 6560) HIT CAR (KA 04 ML 7610),0,0,1,0,0,Ambulance/Petrol Vehicle,INFORMED POLICE & KEY PERSONS
1/10/2014,07:20 PM,24+500 RHS S/R,1,3,2,2,1,9,1,CAR (KA 05 AA 6991) HIT LCV(KA 41 1864),0,0,2,3,0,Ambulance/Petrol Vehicle,INFORMED POLICE & KEY PERSONS